headline,subhead,point1,point1body,update,note,ctaLink
Ten minutes. Forty things to say.,Appointments are short. A written summary says it before you run out of time.,"3 things to hand your
clinician on arrival","A symptom picture, written down clearly
What you take, and what you have tried
How often things flare, not a guess",Say it before time runs out.,Take the quiz and bring the summary with you.,Take the quiz → vancehealthhub.co.uk/healthcare-quiz
Most people start in the dark.,"Without a baseline, every article and every change is a guess you cannot measure.","3 things a baseline
gives you","A record of where you are starting from
Something to compare against in six months
A shared reference for your care team",Find your starting point.,Take the 2-minute quiz and mark where you are today.,Take the quiz → vancehealthhub.co.uk/healthcare-quiz
"Crohn's, colitis or IBS?","The questionnaire covers all three, and the symptoms nobody has named yet.","3 people this quiz
was built for","Newly diagnosed and unsure what matters
Years in, and still tracking on paper
Undiagnosed, with symptoms and questions",Built for wherever you are.,"Take the quiz, diagnosed last week or last decade.",Take the quiz → vancehealthhub.co.uk/healthcare-quiz
Your answers stay yours.,"Saved results are stored securely, visible only to you, deletable at any time.","3 things that happen
to your answers","They generate your summary immediately
They save only if you choose to save
They delete the moment you say so",Answer honestly. It stays private.,Take the quiz knowing nothing is shared without you.,Take the quiz → vancehealthhub.co.uk/healthcare-quiz
"Evidence-based, not a symptom checker.","The questions follow clinical patterns, not a search box guessing what you have.","3 ways this differs
from searching online","It asks about patterns, not one bad day
It records what you take and have tried
It hands you a summary, not a diagnosis","A questionnaire, not a verdict.",Take the quiz and get information you can actually use.,Take the quiz → vancehealthhub.co.uk/healthcare-quiz
Tracking apps miss the point.,Daily logging tells you what happened. A baseline tells you what to ask about.,"3 things a baseline
does that logs cannot","Covers diet, lifestyle and medication at once
Produces something a clinician can read
Takes 2 minutes instead of months",Less logging. More clarity.,Take the 2-minute quiz instead of another month of logging.,Take the quiz → vancehealthhub.co.uk/healthcare-quiz
Free. 2 minutes. No account needed.,Take it without registering. Create a free account only if you want it saved.,"3 reasons there is
nothing to lose","No cost, and no card at any stage
No account required to get your summary
No commitment beyond 2 minutes",Nothing to lose. Minutes to gain.,Take the quiz now and decide about saving afterwards.,Take the quiz → vancehealthhub.co.uk/healthcare-quiz
You have explained this before.,"Every new clinician, every new appointment, the same history from the beginning.","3 things worth having
written down once","Your condition and how long you have had it
Every medication and supplement you take
How often and how badly things flare",Write it once. Share it often.,Take the quiz and keep the summary for next time.,Take the quiz → vancehealthhub.co.uk/healthcare-quiz
The question nobody asks you.,"Diet, supplements, lifestyle and specialist care, in one 2-minute questionnaire.","3 areas most
appointments skip","What you actually eat, week to week
Which supplements you take, and why
How your life changed around the condition","The whole picture, not one part.",Take the quiz and see what you have never been asked.,Take the quiz → vancehealthhub.co.uk/healthcare-quiz
2 minutes. One clear summary.,"A short, evidence-based questionnaire on symptoms, triggers and lifestyle factors.","3 things the quiz
asks you about","Symptom patterns and how often they flare
Diet, triggers and daily lifestyle factors
Medication, supplements and specialist care",Start with a clear picture.,Take the 2-minute quiz and get your summary today.,Take the quiz → vancehealthhub.co.uk/healthcare-quiz
