headline,subhead,point1,point1body,update,note,ctaLink
"3am. One question. No one awake.","A free health assistant on gut health, IBD and clinical nutrition, open 24/7.","3 questions people
ask it at night","What does this term in my letter mean
Is what I am feeling worth asking about
What should I ask at my next appointment","Answered while you wait.","Ask your question now, free, at any hour.",Ask now → vancehealthhub.co.uk/ask-ai
"It will not diagnose you.","VANCE-Ai gives general information. It is not a diagnosis, prescription or treatment plan.","3 things it is
good for","Understanding the words in your letter
Preparing questions before an appointment
General information on gut health topics","Clear about what it is.","Ask it anything, then take it to your healthcare team.",Ask now → vancehealthhub.co.uk/ask-ai
"The question you felt silly asking.","No waiting room, no appointment, no sense that you are wasting anyone's time.","3 things you can ask
without hesitating","The question you forgot in the room
The one that felt too small to book for
The word you nodded at but did not know","No question too small.","Ask the thing you have been sitting on.",Ask now → vancehealthhub.co.uk/ask-ai
"Free. Instant. Always open.","No cost, no account needed to ask, and no waiting for a reply.","3 things it does
not ask of you","No payment, at any point
No account, unless you want it saved
No waiting for someone to get back to you","Ask now. Answer now.","Start a conversation and see what it can explain.",Ask now → vancehealthhub.co.uk/ask-ai
"Urgent? Call 999 or NHS 111.","VANCE-Ai is for questions, not emergencies. For anything urgent, contact them first.","3 things to do
before you ask","Rule out anything urgent, always
Remember it does not know your history
Plan to check answers with your team","Right tool, right moment.","Ask when you have a question, not an emergency.",Ask now → vancehealthhub.co.uk/ask-ai
"Search results are not answers.","A search box gives you ten links. This gives you one explanation you can follow.","3 ways this beats
another search","One answer, not ten conflicting pages
Written for gut health specifically
You can ask the follow-up question","Ask, then ask again.","Bring the question you have already searched twice.",Ask now → vancehealthhub.co.uk/ask-ai
"Every chat saves itself.","Create a free account and every conversation lands in your dashboard automatically.","3 reasons to save
your conversations","Read back what it explained last month
Take the answers to your appointment
Beside your quiz results and reading list","Asked once. Kept for good.","Ask your question and let your dashboard keep it.",Ask now → vancehealthhub.co.uk/ask-ai
"You left with more questions.","Appointments end before the questions do. This one is open when they arise.","3 moments it helps
most","Walking out of the appointment
Reading a letter days later
The night before the next one","The questions that come after.","Ask what you did not get to ask in the room.",Ask now → vancehealthhub.co.uk/ask-ai
"It does not know your history.","VANCE-Ai answers general questions well. Your own team knows your case.","3 limits worth
knowing upfront","It can be wrong or out of date
It has no access to your records
It replaces no part of your care","Useful, and honest about it.","Ask freely, then check what matters with your team.",Ask now → vancehealthhub.co.uk/ask-ai
"Ask it what you actually mean.","Plain questions on gut health, IBD and clinical nutrition, answered plainly.","3 kinds of question
it handles well","What does this actually mean in practice
Why does this keep coming up in articles
What would be worth asking my clinician","Plain question. Plain answer.","Ask it in your own words, free, right now.",Ask now → vancehealthhub.co.uk/ask-ai
