headline,subhead,point1,point1body,update,note,ctaLink
"Six o'clock. Same three meals.","Gut-friendly cooking gets narrow fast when every new recipe feels like a risk.","3 ways the planner
widens the week","Browse gut-friendly recipes, free, no account
See full nutrition data before you cook
Build the week around what you will eat","More than three dinners.","Browse the recipes and build next week tonight.",Plan now → vancehealthhub.co.uk/ibd-recipies
"EPA-rich. Full nutrition data.","Every recipe shows what is in it, so nothing has to be guessed or googled.","3 things shown on
every recipe","EPA and omega-3 content, stated plainly
Complete nutrition data per dish
Everything you need before you shop","Know what is on the plate.","Browse the recipes and read the numbers for yourself.",Plan now → vancehealthhub.co.uk/ibd-recipies
"Cooking for the whole house?","Build a weekly plan that works for you and the people eating with you.","3 things the planner
does for families","One weekly plan, not separate meals
Recipes anyone at the table will eat
Nutrition data for every portion","One plan. One kitchen.","Build a weekly plan the whole household can eat.",Plan now → vancehealthhub.co.uk/ibd-recipies
"Nobody plans the hard part.","Deciding what to eat is easy on Sunday and impossible at six on Thursday.","3 decisions the plan
makes in advance","What is for dinner, already answered
What to buy, decided on one list
What the nutrition adds up to","Decide once, not seven times.","Spend ten minutes now and skip seven decisions later.",Plan now → vancehealthhub.co.uk/ibd-recipies
"Restriction is not a meal plan.","A list of foods to avoid leaves you with nothing to cook on a Tuesday.","3 things a plan does
that a list does not","Tells you what to eat, not what to avoid
Shows the nutrition you are getting
Fits a real week, not an ideal one","Start from what you can eat.","Browse gut-friendly recipes and build from there.",Plan now → vancehealthhub.co.uk/ibd-recipies
"Free to browse. Free to save.","Read every recipe without an account. Saving a plan takes two clicks.","3 things that cost
you nothing","Browsing every recipe and its nutrition
Building a full weekly plan
Saving it, once your free account exists","No cost. No catch.","Browse now and save your plan in two clicks.",Plan now → vancehealthhub.co.uk/ibd-recipies
"Sunday shop. Thursday takeaway.","Plans fail in the gap between good intentions and a tired weeknight.","3 reasons weekly
plans fall apart","Nothing decided before you are hungry
Recipes that need what you did not buy
No idea what the week adds up to","Plan the tired days too.","Build a week you will still follow on Thursday.",Plan now → vancehealthhub.co.uk/ibd-recipies
"Why EPA keeps coming up.","These recipes are built around EPA-rich ingredients, with the numbers shown.","3 things to look for
in every recipe","EPA content, stated on the recipe itself
The full nutrition breakdown beneath it
Ingredients chosen to be gut-friendly","Read the numbers, not the claims.","Browse the recipes and see the data on each one.",Plan now → vancehealthhub.co.uk/ibd-recipies
"Saved plans, not saved screenshots.","Your weekly plan lives in your dashboard, private to you, ready to reuse.","3 things saving
a plan gets you","A week you can repeat without rebuilding
A plan stored privately, visible only to you
Everything beside your other saved tools","Build it once. Reuse it.","Save your plan and it is there next week.",Plan now → vancehealthhub.co.uk/ibd-recipies
"Start with one meal, not seven.","Browse until one recipe looks worth cooking, then let the week build around it.","3 ways to start
without overhauling","Pick one recipe you would actually cook
Add a second when the first works
Let the plan fill in around them","One plate at a time.","Find one recipe today and build the week from it.",Plan now → vancehealthhub.co.uk/ibd-recipies
