headline,subhead,point1,point1body,update,note,ctaLink
"17 tabs open. Still no answers.","Your gut health research lives in screenshots, bookmarks and lost links.","3 things your Dashboard
keeps for you","Every article you saved, in one list
Your notes, attached to what you read
Quiz results and AI chats, always there","Everything you found, still there.","Log in and pick up exactly where you left off.",Go to dashboard → vancehealthhub.co.uk/dashboard
"You researched it. You lost it.","The article that finally explained your flare, gone by the following week.","3 reasons people keep
losing their research","Bookmarks scatter across three devices
Screenshots vanish into the camera roll
Notes apps forget which link they meant","One place. Everything you kept.","Create a free account and stop starting over.",Go to dashboard → vancehealthhub.co.uk/dashboard
"6 things saved automatically.","Articles, notes, quiz results, AI chats, meal plans and calculator history.","3 ways your Dashboard
saves you time","Nothing to re-find before an appointment
Your reading list builds itself
Every tool writes to the same place","Six tools. One saved history.","Open your Dashboard and see what is already waiting.",Go to dashboard → vancehealthhub.co.uk/dashboard
"The tab you never found again.","Most people read the right thing once, then cannot find it when it matters.","3 moments a saved list
actually pays off","Ten minutes before a clinic appointment
The night a new symptom appears
When family asks what you have learned","Findable when you need it.","Save it once. Your Dashboard keeps it for you.",Go to dashboard → vancehealthhub.co.uk/dashboard
"Your notes belong with the article.","Every article you save carries your own notes, so the context comes back with it.","3 things notes solve
that bookmarks cannot","Why you saved it in the first place
The question you wanted to ask about it
What your clinician said afterwards","Read it. Note it. Keep both.","Start a reading list that remembers your thinking.",Go to dashboard → vancehealthhub.co.uk/dashboard
"Bookmarks are not a system.","A folder of links has no notes, no results and no idea what you already read.","3 things a bookmark
folder will never do","Hold the quiz result you took in March
Keep your AI conversations beside it
Show a single, ordered health history","Not a folder. A record.","Set up your free Dashboard in two clicks.",Go to dashboard → vancehealthhub.co.uk/dashboard
"Appointment tomorrow. Notes nowhere.","The questions you meant to ask are in four apps and none of them are open.","3 things to have ready
before you go in","Your quiz summary, written to share
The articles you flagged as relevant
Your own notes, in your own words","Walk in with your notes.","Open your Dashboard the night before your appointment.",Go to dashboard → vancehealthhub.co.uk/dashboard
"Private by default. Yours to delete.","Your saved results are stored securely, visible only to you, deletable anytime.","3 things you stay
in control of","Who can see your results, only you
What stays saved, and what does not
When it all goes, one click, anytime","Your health record. Your call.","Create a free account and keep your research private.",Go to dashboard → vancehealthhub.co.uk/dashboard
"Two clicks. One free account.","Registration takes seconds and unlocks saving across every tool on the hub.","3 things unlocked
the moment you join","Saving articles, plans and quiz results
A history you can read back later
Every future tool, already connected","Free to join. Free to keep.","Register now and your next save has somewhere to go.",Go to dashboard → vancehealthhub.co.uk/dashboard
"One place beats four apps.","Reading, notes, quiz results, AI answers and meal plans, gathered into one view.","3 signs you need
one place, not four","You have searched for the same article twice
You cannot remember your quiz answers
Your notes and your links live apart","Stop rebuilding what you found.","Bring your whole gut health journey into one hub.",Go to dashboard → vancehealthhub.co.uk/dashboard
